episode,t,finger,label,conf,dur,bg_votes,flagged,cluster
14,7.1816192,f1,slip,high,0.14,0.0,False,0
15,5.093607424,f0,slip,medium,0.11,0.0,False,0
15,5.665860096,f1,slip,medium,0.11,0.0,False,0
15,5.786477568,f1,slip,medium,0.28,1.0,False,0
15,6.370200832,f1,slip,medium,0.36,0.0,False,0
15,7.635597312,f0,slip,medium,0.11,3.0,False,0
15,7.745430528,f1,slip,high,0.12,0.0,False,0
15,7.84448512,f0,slip,high,0.11,0.0,False,0
16,6.83511424,f1,slip,high,0.12,0.0,False,0
16,8.351067648,f1,slip,high,0.13,0.0,False,0
17,4.5564864,f1,slip,high,0.33,0.0,False,0
17,5.282453248,f1,slip,medium,0.11,0.0,False,0
17,5.84411648,f1,slip,medium,0.07,2.0,False,0
17,6.074904832,f1,slip,medium,0.14,2.0,False,0
17,7.142100224,f1,slip,medium,0.26,2.0,False,0
17,7.879544832,f1,slip,medium,0.11,2.0,False,0
17,8.120804096,f1,slip,medium,0.13,1.0,False,0
17,8.35216768,f1,slip,medium,0.37,0.0,False,0
18,3.751969792,f1,slip,high,0.3,0.0,False,0
18,6.81098752,f1,slip,high,0.16,0.0,False,0
19,6.150696192,f1,slip,high,0.14,0.0,False,0
19,6.173184512,f0,slip,high,0.14,0.0,False,0
20,4.234407168,f0,slip,medium,0.11,1.0,False,0
20,4.568493568,f1,slip,high,0.11,0.0,False,0
20,4.575940608,f0,slip,high,0.37,1.0,False,0
20,4.701431808,f1,slip,high,0.14,3.0,False,0
20,5.026797312,f0,slip,medium,0.61,4.0,True,0
20,5.929430272,f0,slip,medium,0.11,0.0,False,0
20,6.060930816,f1,slip,high,0.14,0.0,False,0
21,7.800499712,f1,slip,medium,0.11,1.0,False,0
21,8.537834752,f1,slip,medium,0.31,0.0,False,0
21,9.099340544,f1,slip,medium,0.16,0.0,False,0
21,12.025198336,f1,slip,medium,0.25,0.0,False,0
22,6.249356288,f1,slip,medium,0.13,3.0,False,0
22,6.435804672,f1,slip,high,0.25,0.0,False,0
22,6.975186944,f0,slip,medium,0.17,0.0,False,0
22,7.569043968,f0,slip,high,0.39,1.0,False,0
22,7.623710208,f1,slip,high,0.75,1.0,False,0
22,8.263200256,f0,slip,medium,0.14,1.0,False,0
22,8.482422272,f1,slip,medium,0.2,1.0,False,0
22,8.768678656,f0,slip,medium,0.23,0.0,False,0
22,8.768678656,f1,slip,medium,0.15,1.0,False,0
22,9.308082432,f1,slip,medium,0.27,1.0,False,0
23,8.32948608,f0,slip,medium,0.08,0.0,False,0
23,8.438993664,f1,slip,medium,0.18,0.0,False,0
23,8.758445824,f1,slip,medium,0.22,0.0,False,0
23,9.186976256,f1,slip,medium,0.29,0.0,False,0
23,9.715447296,f1,slip,medium,0.19,0.0,False,0
23,9.935794432,f1,slip,medium,0.42,0.0,False,0
23,10.386760704,f1,slip,medium,0.29,0.0,False,0
23,10.759961856,f1,slip,high,0.42,0.0,False,0
23,10.870431744,f0,slip,high,0.19,2.0,False,0
23,11.22255104,f0,slip,medium,0.11,0.0,False,0
23,11.684828416,f0,slip,medium,0.14,0.0,False,0
24,6.28237824,f1,slip,high,0.13,0.0,False,0
24,7.39318144,f0,slip,high,0.11,0.0,False,0
24,11.167629824,f0,slip,medium,0.11,1.0,False,0
25,8.809527552,f1,slip,high,0.39,0.0,False,0
25,8.974167296,f0,slip,medium,0.17,0.0,False,0
25,9.172264192,f0,slip,medium,0.28,1.0,False,0
25,9.3485888,f1,slip,medium,0.12,4.0,True,0
25,9.61302272,f1,slip,medium,0.21,3.0,False,0
25,10.053131264,f1,slip,medium,0.16,4.0,True,0
25,10.316756736,f0,slip,medium,0.18,2.0,False,0
25,10.38260608,f1,slip,medium,0.45,2.0,False,0
25,10.86871424,f0,slip,medium,0.15,0.0,False,0
25,11.010113024,f1,slip,medium,0.11,4.0,True,0
25,13.738377216,f0,slip,medium,0.11,2.0,False,0
26,8.967454976,f1,slip,high,0.2,0.0,False,0
27,8.417952,f1,slip,medium,0.15,1.0,False,0
27,8.736561664,f1,slip,medium,0.26,2.0,False,0
27,9.517322752,f1,slip,medium,0.12,2.0,False,0
27,10.6177408,f1,slip,medium,0.26,0.0,False,0
28,6.741746944,f1,slip,medium,0.3,0.0,False,0
28,7.390952704,f1,slip,medium,0.11,3.0,False,0
28,8.193837824,f1,slip,medium,0.36,2.0,False,0
28,9.657029632,f1,slip,medium,0.19,2.0,False,0
28,12.012353536,f1,slip,medium,0.48,0.0,False,0
29,6.149693184,f1,slip,medium,0.11,4.0,True,0
30,6.908107008,f1,slip,high,0.21,2.0,False,0
30,7.23935616,f1,slip,medium,0.38,1.0,False,0
30,7.24936064,f0,slip,medium,0.11,1.0,False,0
30,7.701008896,f1,slip,medium,0.4,0.0,False,0
30,8.00918656,f0,slip,medium,0.11,5.0,True,0
30,8.29526528,f1,slip,medium,0.11,0.0,False,0
30,8.877760512,f1,slip,medium,0.14,1.0,False,0
30,8.910340352,f0,slip,medium,0.21,4.0,True,0
30,9.05428992,f1,slip,medium,0.18,1.0,False,0
30,9.472383232,f1,slip,medium,0.11,1.0,False,0
30,9.62602624,f1,slip,medium,0.44,1.0,False,0
31,4.531886336,f1,slip,medium,0.1,0.0,False,0
31,7.130332672,f1,slip,medium,0.12,0.0,False,0
31,8.844951552,f1,slip,medium,0.11,0.0,False,0
31,9.087475456,f1,slip,medium,0.11,2.0,False,0
31,9.45033088,f1,slip,medium,0.17,0.0,False,0
31,9.780250624,f1,slip,high,0.3,1.0,False,0
31,9.791248128,f0,slip,high,0.34,0.0,False,0
31,12.35517568,f1,slip,high,0.12,1.0,False,0
32,7.943266304,f0,slip,medium,0.09,0.0,False,0
32,8.218092544,f0,slip,high,0.19,0.0,False,0
32,8.373005568,f1,slip,high,0.15,1.0,False,0
32,10.980408064,f0,slip,medium,0.11,4.0,True,0
32,11.112703232,f1,slip,medium,0.12,2.0,False,0
32,12.652717568,f1,slip,high,0.14,0.0,False,0
33,5.41362432,f0,slip,medium,0.11,0.0,False,0
33,5.854244864,f0,slip,medium,0.34,1.0,False,0
33,7.119865344,f0,slip,medium,0.32,3.0,False,0
33,8.168459264,f0,slip,high,0.19,1.0,False,0
34,5.08511616,f0,slip,medium,0.11,0.0,False,0
34,5.37101952,f1,slip,medium,0.2,0.0,False,0
34,5.833272064,f1,slip,medium,0.11,1.0,False,0
34,6.482675968,f1,slip,medium,0.16,2.0,False,0
34,6.846184448,f1,slip,medium,0.39,0.0,False,0
35,5.114264576,f1,slip,medium,0.21,0.0,False,0
35,5.256772864,f0,slip,medium,0.22,2.0,False,0
35,5.609579264,f1,slip,medium,0.24,0.0,False,0
35,5.950486528,f1,slip,medium,0.17,0.0,False,0
35,6.08282624,f0,slip,medium,0.16,2.0,False,0
35,6.203352064,f1,slip,medium,0.18,2.0,False,0
35,6.709472512,f1,slip,medium,0.52,0.0,False,0
35,7.205075968,f0,slip,medium,0.15,1.0,False,0
35,7.809317632,f1,slip,medium,0.21,0.0,False,0
35,8.27172352,f1,slip,medium,0.57,0.0,False,0
35,8.789158656,f0,slip,medium,0.25,1.0,False,0
35,9.030736896,f1,slip,high,0.15,0.0,False,0
36,5.657272832,f0,slip,medium,0.18,0.0,False,0
37,5.31605248,f1,slip,high,0.11,0.0,False,0
37,5.921189632,f0,slip,medium,0.11,0.0,False,0
37,7.406681344,f0,slip,medium,0.14,3.0,False,0
37,7.682770944,f0,slip,medium,0.18,3.0,False,0
37,8.63142784,f0,slip,medium,0.11,2.0,False,0
37,8.897853184,f0,slip,medium,0.12,4.0,True,0
37,9.333518848,f0,slip,medium,0.26,4.0,True,0
37,9.773936384,f0,slip,medium,0.11,4.0,True,0
37,10.367645184,f1,slip,medium,0.23,3.0,False,0
38,4.210784768,f1,slip,high,0.2,0.0,False,0
38,4.705534976,f0,slip,medium,0.11,0.0,False,0
38,6.43664,f1,slip,high,0.12,0.0,False,0
39,4.390555904,f1,slip,high,0.13,0.0,False,0
39,4.797662976,f0,slip,high,0.11,1.0,False,0
39,5.271510784,f1,slip,medium,0.26,0.0,False,0
39,5.766331136,f1,slip,high,0.13,1.0,False,0
40,3.517650432,f0,slip,medium,0.41,0.0,False,0
40,4.089586176,f0,slip,high,0.15,0.0,False,0
40,4.377152,f0,slip,medium,0.26,2.0,False,0
40,5.80813824,f1,slip,medium,0.34,3.0,False,0
40,6.202279168,f0,slip,medium,0.18,4.0,True,0
40,6.6102592,f1,slip,medium,0.35,0.0,False,0
41,3.653901312,f1,slip,medium,0.17,0.0,False,0
41,3.973212416,f0,slip,medium,0.14,4.0,True,0
42,4.786247424,f1,slip,medium,0.12,0.0,False,0
42,5.391081984,f1,slip,medium,0.3,4.0,True,0
42,7.332440064,f1,slip,medium,0.11,4.0,True,0
43,4.36878336,f0,slip,high,0.19,0.0,False,0
43,4.466996992,f1,slip,medium,0.1,0.0,False,1
43,5.843663872,f1,slip,medium,0.15,2.0,False,1
43,8.076400384,f1,slip,medium,0.11,6.0,True,0
43,8.813980416,f0,slip,high,0.13,2.0,False,0
44,8.506151424,f1,slip,medium,0.11,0.0,False,0
45,7.308315648,f1,slip,high,0.16,0.0,False,1
46,8.274476032,f1,slip,high,0.14,0.0,False,1
47,4.212311296,f1,slip,medium,0.47,0.0,False,0
47,8.39257344,f0,slip,high,0.13,0.0,False,0
47,8.535590656,f1,slip,medium,0.11,0.0,False,0
47,14.55477888,f1,slip,high,0.11,4.0,True,0
48,7.262388992,f1,slip,high,0.24,0.0,False,1
48,8.451555072,f1,slip,medium,0.11,2.0,False,1
48,8.61711744,f1,slip,medium,0.15,2.0,False,1
48,9.65149312,f1,slip,high,0.16,0.0,False,1
48,10.102395904,f1,slip,medium,0.11,1.0,False,0
48,12.138476032,f1,slip,high,0.15,0.0,False,0
49,4.577942528,f1,slip,medium,0.14,0.0,False,0
49,4.610843392,f0,slip,medium,0.13,0.0,False,0
49,9.07840128,f0,slip,high,0.2,0.0,False,0
49,9.924902912,f0,slip,medium,0.22,2.0,False,0
49,12.687259904,f1,slip,medium,0.18,3.0,False,0
49,13.33603584,f0,slip,high,0.14,0.0,False,0
49,13.358036224,f1,slip,high,0.16,0.0,False,0
51,4.243835904,f1,slip,medium,0.08,3.0,False,0
51,4.617449472,f1,slip,high,0.17,0.0,False,0
51,5.751109632,f1,slip,high,0.11,0.0,False,0
51,5.98157952,f1,slip,medium,0.11,0.0,False,1
51,6.719461632,f1,slip,high,0.47,0.0,False,1
52,9.508425472,f1,slip,high,0.14,0.0,False,0
53,7.18656256,f1,slip,medium,0.15,0.0,False,1
53,10.048084992,f1,slip,high,0.29,0.0,False,1
53,10.74197632,f1,slip,high,0.33,1.0,False,0
54,8.252122624,f0,slip,high,0.15,0.0,False,0
55,6.437438464,f1,slip,high,0.24,1.0,False,1
55,7.34039552,f1,slip,high,0.42,0.0,False,1
56,5.36980352,f1,slip,medium,0.44,0.0,False,0
56,6.282680576,f1,slip,medium,0.26,0.0,False,0
56,10.069137408,f0,slip,medium,0.11,0.0,False,0
56,11.336306176,f1,slip,high,0.11,0.0,False,0
56,11.818123008,f1,slip,medium,0.11,2.0,False,1
56,13.028674048,f1,slip,high,0.2,0.0,False,1
57,9.430104832,f1,slip,high,0.14,0.0,False,0
59,9.5734272,f1,slip,medium,0.29,0.0,False,0
